Train,From,Class,Engine,Destination,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,300,121,122,168,169,170,171,172,173,123,124,125,126,127,128,129,130,131,132,133,134,135,136,305,137,301,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,174,175,176,177,178,179,180,181,182
00:22,(Bickley),Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P00.22,,,,S00.25/00.26,,P00.28,,S00.31,,,,S00.34,,,,,P00.39,,,,,,,,,,,,,,,
01:05,Sittingbourne,Goods,2-6-2T,Herne Hill,,,,,,,,,,,,,,,,,,,,,S01.05,,,,,,,,,,,,,S01.28/01.42,,P01.50,,P01.55,,P02.00,,,P02.27,,,,,,,,S02.52/03.05,,,,S03.14/03.35,,P03.40,,,,,,,P03.46,,,,,,S04.08,,,,,,,,,,,,,,,
02:00,Faversham,Goods,2MT & C,Sheerness,,,,,,,,,,,,,,,,,S02.00,,,,S02.20/02.50,,,,,S03.02/03.25,,T03.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:30,Ashford,P&P,L4-4-0,Margate,S03.31,,,,T03.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:30,Faversham,Goods,N2-6-0,Hoo Junction,,,,,,,,,,,,,,,,,S02.30,S02.42/02.55,,,S03.05/03.20,,,,,,,,,,,S03.35/03.57,,S04.05/04.30,,P04.35,,P04.40,S04.45/05.25,T05.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:30,Orpington,ECS,EMU,Bickley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S03.35,T03.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:30,Sheperdswell,Goods,C0-6-0,Sittingbourne,,,,,,,,,,,,,,,,,S05.00/05.10,,,,T05.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S03.30,S03.45/04.05,,,,P04.30,
03:40,Sutton,Pass,EMU,Victoria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S04.35,,,S04.38,,,,T04.45,,,,,,,,,
03:45,(St Mary Cray),Goods,N2-6-0,Hither Green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S03.45,T03.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:59,Swanley,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S03.59,S04.04,,,S04.08,,S04.11/04.12,,T04.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:00,Gillingham,Pass,EMU,Charing Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S04.00,S04.03/04.04,,S04.05/04.06,,,T04.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:02,Orpington,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P04.07,,S04.09,,S04.12/04.18,,S04.20,,S04.23,,,S04.25,S04.27,S04.30,S04.32,,,S04.35,,,,,,,,,,,,,,,
04:15,Ramsgate,LE,L4-4-0,Margate,S04.15,,,,T04.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:34,Ramsgate,pass,L4-4-0,Chatham,S04.34,,S04.38,S04.42,S04.48/04.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:38,Ramsgate,Light,2-6-4T,Margate,S04.38,,,,,S04.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:40,Faversham,Pass,2-6-2T,Sheerness,,,,,,,,,,,,,,,,S04.40,,S04.47,,S04.55/05.05,,P05.06,P05.07,,,,,S05.16,T05.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:41,Gillingham,P&P,H0-4-4T,Gravesend,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S04.41,S04.45/04.46,,S04.48/04.49,,,T04.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
04:42,Dover,Pass,2-6-4T,Faversham,,,,,,,,,,,,,,,,,T05.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S04.42,S04.49,S04.56,S05.01,,S05.07,,S05.16/05.18,
04:50,London Bridge,pass,V4-4-0,Margate,S08.52,,S08.56,S09.00,,T09.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
05:00,Orpington,Pass,EMU,Holbourn Viaduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P05.05,,S05.06,,S05.08/05.09,,S05.12,,S05.15,,,S05.17,S05.19,S05.22,S05.24,,,S05.26,T05.27,,,,,,,,,,,,,,
05:07,Orpington,Pass,EMU,Blackfriars,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P05.12,,S05.13,,S05.15/05.16,,S05.19,,S05.22,,,S05.24,S05.26,S05.29,S05.31,,,T05.33,,,,,,,,,,,,,,,
