ID,Description,Total,Step,Mult,Direction,Next 1,Next 2,Next 3
1,Victoria Down Main,0,0,Y,D,2,,
2,Stewarts Lane Down,1.95,1.95,N,D,3,,
3,Factory Junction Down,2.94,0.99,N,D,4,5,
4,Catford Loop Down,3.15,0.21,N,D,17,,
5,Brixton Down,3.18,0.24,N,D,7,8,
6,Holbourn Down (Join),3.9,0,N,D,7,8,
7,Herne Hill Down Slow,3.95,0.05,N,D,9,10,
8,Herne Hill Down Fast,3.95,0.05,N,D,9,10,
9,Tulse Hill Down,4,0.05,N,D,T,,
10,West Dulwich Down,5.03,1.08,N,D,11,,
11,Sydenham Hill Down,5.71,0.69,N,D,12,,
12,Penge East Down,7.19,1.48,N,D,200,13,14
200,UNKNOWN SIDING,7.5,1,Y,D,13,14,
13,Kent House Down Slow,7.83,0.64,N,D,16,,
14,Kent House Down Fast,7.83,0.64,N,D,16,,
15,Crystal Palace Single (Join),8.5,0,N,D,16,,
16,Beckenham Junction Down,8.66,0.84,N,D,18,19,
17,Catford Loop Down (Shortlands),10.13,0,N,D,18,19,
18,Shortlands Down Slow,10.04,1.38,N,D,20,,
19,Shortlands Down Fast,10.04,1.38,N,D,21,,
20,Bromley South Down Slow,10.89,0.85,N,D,22,,
21,Bromley South Down Fast,10.89,0.85,N,D,23,,
22,Bickley Down Slow,11.95,1.06,N,D,24,26,
23,Bickley Down Fast,11.95,1.06,N,D,24,26,
24,Tonbridge Down loop (Out),12.3,1,N,D,T,,
25,Chatham Down Loop (In),13.21,0,N,D,26,,
26,St Mary Cray Down,14.71,2.76,N,D,27,28,
27,Swanley Down Chatham,17.39,2.68,N,D,28,29,
28,Swanley Down Maidstone (Out),17.39,2.68,N,D,T,,
29,Farningham Road Down,20.51,3.13,N,D,30,205,
30,Fawkham Junction Down,23.38,2.86,N,D,205,,
205,Longfield,24,0,N,D,31,,
31,Meopham Down,25.95,2.58,N,D,204,32,
204,Sole Street Goods Down,26.89,2.58,Y,D,33,,
32,Sole Street Down,26.89,0.94,N,D,33,,
33,Cobham Park,28,1.11,N,D,34,,
34,Cuxton Road,30.9,2.9,N,D,35,,
35,Rochester Bridge Junction Down,33.01,2.11,N,D,36,37,38
36,Chatham Goods Down,33.51,0.5,Y,D,37,38,
37,Rochester Down Slow,33.76,0.75,N,D,39,,
38,Rochester Down Fast,33.76,0.75,N,D,40,,
39,Chatham Down Slow,34.31,0.55,N,D,41,201,
40,Chatham Down Fast,34.31,0.55,N,D,41,201,
41,Gillingham Down,35.94,1.63,N,D,42,203,
201,Gillingham Reversable,35.94,1.63,N,D,42,203,
42,Rainham Down,38.93,2.99,N,D,43,,
203,Rainham Goods,38.93,2.99,Y,D,43,,
43,Newington Down,41.55,2.63,N,D,510,,
510,Western Junction Down,43.85,2.3,N,D,506,508,
507,Middle Junction Down,44,0.2,N,D,508,511,
508,Eastern Junction Down,44.24,0.39,N,D,47,202,48
47,Sittingbourne Bay,44.74,0.5,N,D,202,49,50
202,Sittingbourne Goods,44.74,0.5,Y,D,49,50,
48,Sittingbourne Down,44.74,0.5,N,D,49,50,
49,Murston Sidings,45.5,0.76,Y,D,50,,
50,Teynham Down,47.93,3.19,N,D,51,52,
51,Faversham Down Slow,51.96,4.04,N,D,53,67,
52,Faversham Down Fast,51.96,4.04,N,D,53,67,
53,Graveney Down,54.96,3,N,D,54,,
54,Whitstable Down,59.08,4.11,N,D,55,,
55,Chestfield Down,60.56,1.49,N,D,56,,
56,Herne Bay Down,62.73,2.16,N,D,57,,
57,Reculver,65,2.28,N,D,58,,
58,Minnis Bay,68,3,N,D,59,,
59,Birchington Down,70.7,2.7,N,D,60,,
60,Westgate Down,72.44,1.74,N,D,61,62,
61,Margate Down Main,73.86,1.43,N,D,63,,
62,Margate Down Bay,73.86,1.43,N,D,63,,
63,Broadstairs Down,77.11,3.25,N,D,64,,
64,Dumpton Park Down,78.33,1.21,N,D,65,66,
65,Ramsgate Down Slow,79.26,0.94,N,D,T,,
66,Ramsgate Down Fast,79.26,0.94,N,D,T,,
67,Selling Down,55.23,3.26,N,D,68,,
68,Canterbury East Down,61.81,6.59,N,D,69,,
69,Bekesbourne Down,64.73,2.91,N,D,70,,
70,Adisham Down,67.75,3.03,N,D,71,,
71,Aylesham Down,68.83,1.08,N,D,72,,
72,Snowdown Down,69.75,0.92,Y,D,73,,
73,Sheperdswell Down,71.75,2,N,D,74,,
74,Kearsney Down,75.11,3.36,N,D,75,,
75,Dover Priory Down,77.29,2.18,N,D,T,,
500,Sheerness Out,0,0,N,D,501,,
501,Queenborough Out,1.99,1.99,N,D,502,,
502,Swale Out,3.95,1.96,N,D,504,,
503,Ridham Dock Out,4.41,0.46,Y,D,504,,
504,Kemsley Out,5.94,1.53,N,D,507,,
