ID,Description,Total,Step,Mult,Direction,Next 1,Next 2,Next 3
101,Ramsgate Up Fast,0,0,N,U,103,,
102,Ramsgate Up Slow,0,0,N,U,103,,
103,Dumpton Park Up,0.94,0.94,N,U,104,,
104,Broadstairs Up,2.15,1.21,N,U,105,106,
105,Margate Up Bay,5.4,3.25,N,U,107,,
106,Margate Up Main,5.4,3.25,N,U,107,,
107,Westgate Up,6.83,1.43,N,U,108,,
108,Birchington Up,8.56,1.74,N,U,109,,
109,Minnis Bay,11.26,2.7,N,U,110,,
110,Reculver,13.53,2.27,N,U,111,112,
111,Herne Bay Up Fast,17.54,4.01,N,U,113,,
112,Herne Bay Up Slow,17.54,4.01,N,U,113,,
113,Chestfield Up,18.7,1.16,N,U,114,,
114,Whitstable Up,20.19,1.49,N,U,115,,
115,Graveney Up,24.3,4.11,N,U,116,117,
116,Faversham Up Fast,27.3,3,N,U,118,,
117,Faversham Up Slow,27.3,3,N,U,118,,
118,Teynham Up,31.34,4.04,N,U,119,120,300
119,Murston Sidings,32,0.66,Y,U,509,,
120,Sittingbourne Up,33.53,1.53,N,U,509,,
124,Newington Up,37.71,3.39,N,U,125,,
125,Rainham Up,40.34,2.63,N,U,126,127,
126,Gillingham Up,43.33,2.99,N,U,128,129,
127,Gillingham Up Bay,43.33,2.99,N,U,128,129,
128,Chatham Up Fast,44.95,1.63,N,U,130,131,132
129,Chatham Up Slow,44.95,1.63,N,U,130,131,132
130,Rochester Up Fast,45.5,0.55,N,U,133,,
131,Rochester Up Slow,45.5,0.55,N,U,133,,
132,Chatham Goods Up,45.75,0.25,Y,U,130,131,133
133,Rochester Bridge Junction Up,46.25,0.75,N,U,134,,
134,Cuxton Road Up,48.36,2.11,N,U,135,,
135,Cobham Park Up,50.16,1.8,N,U,136,305,
136,Sole Street Up,52.38,2.22,N,U,137,,
137,Meopham Up,53.31,0.94,N,U,301,,
138,Fawkham Junction Up,55.89,0.63,N,U,T,,
139,Farningham Road Up,58.75,2.86,N,U,141,,
140,Swanley Up Maidstone (Join),61.88,0,N,U,141,,
141,Swanley Up Chatham,61.88,3.13,N,U,142,,
142,St Mary Cray Up,64.53,2.65,N,U,143,145,146
143,Chatham Up Loop (Out),66.03,1.5,N,U,T,,
144,Tonbridge Up loop (Join),67.12,0,N,U,145,146,
145,Bickley Up Fast,67.31,2.78,N,U,147,,
146,Bickley Up Slow,67.31,2.78,N,U,148,,
147,Bromley South Up Fast,68.38,1.07,N,U,149,,
148,Bromley South Up Slow,68.38,1.07,N,U,150,,
149,Shortlands Up Fast,69.23,0.85,N,U,151,152,
150,Shortlands Up Slow,69.23,0.85,N,U,151,152,
151,Catford Loop Up (Shortlands),69.32,0.09,N,U,164,,
152,Beckenham Junction Up,70.6,1.37,N,U,153,154,155
153,Crystal Palace Single Up (Out),70.76,0.16,N,U,T,,
154,Kent House Up Fast,71.44,0.84,N,U,156,,
155,Kent House Up Slow,71.44,0.84,N,U,156,,
156,Penge East Up,72.08,0.64,N,U,157,,
157,Sydenham Hill Up,73.55,1.47,N,U,158,,
158,West Dulwich Up,74.24,0.69,N,U,160,161,
159,Tulse Hill Up (Join),75.27,0,N,U,160,161,
160,Herne Hill Up Fast,75.31,1.07,N,U,162,163,
161,Herne Hill Up Slow,75.31,1.07,N,U,162,163,
162,Holbourn Up (Out),75.4,0.09,N,U,T,,
163,Brixton Up,76.09,0.78,N,U,165,,
164,Catford Loop Up (Join),76.12,0.03,N,U,165,,
165,Factory Junction Up,76.33,0.24,N,U,166,167,
166,Stewarts Lane Up,77.32,0.99,N,U,167,,
167,Victoria Up Main,79.26,1.94,N,U,T,,
174,Dover Priory Up,1.08,1.08,N,U,175,,
175,Kearsney Up,3.26,2.18,N,U,176,,
176,Sheperdswell Up,6.66,3.4,N,U,177,,
177,Snowdown Up,8.65,1.99,Y,U,178,,
178,Aylesham Up,9.55,0.9,N,U,179,,
179,Adisham Up,10.61,1.06,N,U,180,,
180,Bekesbourne Up,13.43,2.82,N,U,181,,
181,Canterbury East Up,16.58,3.15,N,U,182,,
182,Selling Up,23.15,6.57,N,U,116,117,
300,Sittingbourne Goods Up,33.53,1.53,Y,U,509,,
301,Longfield,55.26,1.95,N,U,138,139,
305,Sole Street Goods Up,52.8,0,Y,U,137,,
506,Middle Junction Up,34.13,0.11,N,U,512,,
509,Eastern Junction Up,34.03,0.5,N,U,506,511,
511,Western Junction Up,34.33,0.3,N,U,124,,
512,Kemsley In,36.85,1.94,N,U,513,514,
513,Ridham Dock In,40.31,3.46,Y,U,T,,
514,Swale In,44.24,3.93,N,U,515,,
515,Queenborough In,50.13,5.89,N,U,516,,
516,Sheerness In,58.01,7.88,N,U,T,,
