Train,From,Class,Engine,Destination,1,2,3,4,5,6,7,8,9,10,11,200,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,201,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
00:25,Victoria,Pass,EMU,,S00.25,,,,S00.31,,S00.35,,,S00.38,S00.40,,S00.44,S00.46,,,T00.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
00:40,SnodLand,Goods,T2-6-4,Snowdown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,S02.35,,,P02.40,,P02.45,P02.50,,S03.07,,,,,,P03.25,,,,S03.50,,,,,,,,,,,,,,,,P04.30,,,,T04.50,,,,,,,,,
00:56,Queen Borough,Goods,C0-6-0,Sittingbourne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P01.35,P01.37,S02.26,,S02.55,,T03.10,,,,,,,,,,,,,,,,,,,,,,,,,,S00.56,,S01.25,,
01:00,BLA,Goods,N2-6-0,Queenborough,,,,,,,,,,,,,,,,,,,,,,,,,,,P01.39,P01.49,,,,,P02.11,,,P02.23,S03.45,,P03.47,,P03.50,P03.58,,P04.05,P04.11,P04.14,P04.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T04.35,,,,
01:10,BLA,Goods,N2-6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,P01.58,P02.06,,,,,P02.29,,,,,,P02.43,S02.53,,S03.25,,,,,,,,P03.45,,,S04.20,,,,,P04.41,,,,,,S06.50,,,T07.00,,,,,,,,,,,,,,,,
01:15,Holbourn V,Pass,EMU,Orpington,,,,,,,,,,,,,,,,,,,,S00.43,,S00.46,,S00.49,P00.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:20,Holbourn V,Pass,EMU,Orpington,,,,,,,S01.35,,,S01.37,,,S01.42,S01.44,,,S01.48,,S01.51,,S01.53,,S01.56,,T01.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:25,Chatham,Goods,C0-6-0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D01.25,,P01.27,S01.40,,,T01.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:35,,Goods,,,,,,,,,S01.35,,,,,,,,,,P01.57,,,P02.03,,P02.07,,P02.14,,,P02.21,P02.29,,,,,P02.54,,,,,,P03.16,S03.24,,S03.44,,,,,,,S04.30,,,,T04.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:50,Herne Hill,Goods,,,,,,,,,S01.50,,,,,,,,,,P02.12,,,P02.18,,P02.22,,P02.29,,,P02.32,S02.57,,T03.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01:51,Holbourn V,Pass,EMU,Orpington,,,,,,,,,,,,,,,,,,,S02.19,,S02.23,,S02.26,,T02.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:20,Blackfriars,Pass,EMU,Orpington,,,,,,,,S02.30,,S02.33,,,S02.38,,S02.40,,S02.42,,,S02.46,,S02.48,,S02.51,T02.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02:50,Herne Hill,Goods,C0-6-0,,,,,,,,S02.50,,,,,S04.08,,,,,P04.15,,,P04.20,,T04.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
03:00,Holbourn V,Pass,EI4-4-0,Ramsgate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,P04.17,,,S04.19,,S04.25,S04.30,,,,,,,,S04.45,,,,S04.59,,S05.12,,S05.23,,,S05.35,S05.41,S05.54,,S06.00,S06.07,,T06.10,,,,,,,,,,,,,,,
